row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway1,0,v_0_0,v_5_2,0,0.1148463444539165,51.72318579035337,448.27681420964666,87.25258585304123,34.023680489242714,3903.274556462032,5,v_0_0 > v_1_1 > v_2_2 > v_3_3 > v_4_3 > v_5_2,30 > 25 > 30 > 30 > 30,BAT-ORB,19.885153655546084,20.0,202.12218839188606,20.0
5,Town05_Highway1,1,v_5_2,v_8_2,0,0.1156290798067626,28.76480618769165,271.23519381230835,63.05067694285498,17.737819325028127,2345.7351236003256,3,v_5_2 > v_6_1 > v_7_1 > v_8_2,30 > 30 > 15,BAT-ORB,19.76952457573932,19.885153655546084,203.28954142681516,20.0
12,Town05_Highway1,2,v_8_2,v_11_2,0,0.003,25.143266023534974,274.8567339764651,47.030946564414336,29.14040385879016,91618.91132548836,3,v_8_2 > v_9_1 > v_10_1 > v_11_2,30 > 30 > 30,BAT-ORB,19.76652457573932,19.76952457573932,204.4785524482723,20.0
15,Town05_Highway1,3,v_11_2,v_16_2,0,0.005,28.26737857549699,471.732621424503,65.3848980919883,50.39572854701805,94346.5242849006,5,v_11_2 > v_12_2 > v_13_2 > v_14_3 > v_15_2 > v_16_2,30 > 30 > 30 > 30 > 30,BAT-ORB,19.761524575739323,19.76652457573932,204.50958651574302,20.0
21,Town05_Highway1,4,v_16_2,v_19_1,0,0.003,16.995686378142878,283.00431362185714,60.64784757149117,18.025881731142736,94334.77120728572,3,v_16_2 > v_17_2 > v_18_1 > v_19_1,30 > 30 > 30,BAT-ORB,19.758524575739322,19.761524575739323,204.56133090057827,20.0
