row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway1,0,v_0_0,v_5_2,0,0.005,30.83041419219165,469.1695858078084,90.25258582252528,35.01751484685008,93833.91716156168,5,v_0_0 > v_1_2 > v_2_2 > v_3_2 > v_4_2 > v_5_2,30 > 30 > 30 > 30 > 30,CZL-ORB,9.995,10.0,67.14823206705724,10.0
7,Town05_Highway1,1,v_5_2,v_8_2,6,1.3944176576269454,7.205338107011472,292.79466189298853,57.050677005757024,18.927971686750205,209.9763010684143,3,v_5_2 > v_6_2 > v_7_2 > v_8_2,25 > 30 > 30,CZL-ORB,8.600582342373054,9.995,67.2069249683282,10.0
8,Town05_Highway1,2,v_8_2,v_11_2,0,0.003,4.925847800753069,295.0741521992469,41.030946630217336,30.444913195481583,98358.0507330823,3,v_8_2 > v_9_2 > v_10_2 > v_11_2,30 > 30 > 30,CZL-ORB,8.597582342373054,8.600582342373054,85.75001238187942,10.0
9,Town05_Highway1,3,v_11_2,v_14_2,0,0.003,4.925844376382592,295.0741556236174,41.030925724558045,30.444933741704443,98358.05187453912,3,v_11_2 > v_12_2 > v_13_2 > v_14_2,30 > 30 > 30,CZL-ORB,8.594582342373053,8.597582342373054,85.79497592638808,10.0
12,Town05_Highway1,4,v_14_2,v_19_1,2,1.4535792436658037,20.20173818092025,479.79826181907976,85.0018199360199,38.7895709144785,330.08056761258456,5,v_14_2 > v_15_2 > v_16_2 > v_17_2 > v_18_2 > v_19_1,30 > 30 > 30 > 30 > 30,CZL-ORB,7.14100309870725,8.594582342373053,85.83996304780683,10.0
