row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway1,0,v_0_0,v_4_2,0,0.56902693892556,52.75873174953712,347.2412682504629,72.25259119723702,25.21082911811912,610.2369580359866,4,v_0_0 > v_1_2 > v_2_2 > v_3_3 > v_4_2,10 > 30 > 30 > 30,BAT-ORB,14.43097306107444,15.0,146.0959803583311,15.0
8,Town05_Highway1,1,v_4_2,v_7_2,0,0.2965311386943008,48.22104052012188,251.77895947987813,58.37367667790814,16.225440779724234,849.0810124984597,3,v_4_2 > v_5_3 > v_6_1 > v_7_2,20 > 30 > 30,BAT-ORB,14.13444192238014,14.43097306107444,151.85668326733096,15.0
14,Town05_Highway1,2,v_7_2,v_13_2,0,0.9964552349551742,73.65703527414095,526.342964725859,70.06187691706361,60.85166985903315,528.2153640846061,6,v_7_2 > v_8_3 > v_9_2 > v_10_3 > v_11_3 > v_12_3 > v_13_2,5 > 10 > 10 > 5 > 30 > 20,BAT-ORB,13.137986687424965,14.13444192238014,155.04253492351143,15.0
24,Town05_Highway1,3,v_13_2,v_16_2,0,0.3687819760313927,48.93231306460903,251.06768693539092,41.030962886986,28.491902878556896,680.8024883353268,3,v_13_2 > v_14_3 > v_15_1 > v_16_2,10 > 30 > 25,BAT-ORB,12.769204711393572,13.137986687424965,166.80179067866655,15.0
30,Town05_Highway1,4,v_16_2,v_19_1,0,0.3507047790396239,29.06703854187328,270.9329614581267,57.64784760149115,18.49296622166938,772.5385499452111,3,v_16_2 > v_17_2 > v_18_2 > v_19_1,5 > 30 > 15,BAT-ORB,12.418499932353948,12.769204711393572,171.6191223263585,15.0
