row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway2,0,v_0_0,v_7_2,0,0.7766955261636832,97.9731247004571,602.0268752995429,142.62626775566144,41.49781746681695,775.1130977580394,7,v_0_0 > v_1_1 > v_2_1 > v_3_2 > v_4_3 > v_5_1 > v_6_1 > v_7_2,10 > 10 > 30 > 20 > 30 > 5 > 25,BAT-ORB,24.22330447383632,25.0,148.16975553135669,25.0
13,Town05_Highway2,1,v_7_2,v_10_2,0,0.3957814231087064,25.143263974962824,274.8567360250372,47.03094386983719,29.140416150223054,694.4659854576961,3,v_7_2 > v_8_1 > v_9_1 > v_10_2,30 > 30 > 30,BAT-ORB,23.827523050727613,24.22330447383632,152.920667462397,25.0
20,Town05_Highway2,2,v_10_2,v_16_2,0,0.5625980296818744,47.94923001624368,552.0507699837564,73.06189583550632,61.19746517740354,981.2525832980928,6,v_10_2 > v_11_3 > v_12_3 > v_13_3 > v_14_2 > v_15_2 > v_16_2,30 > 5 > 30 > 15 > 25 > 5,BAT-ORB,23.264925021045737,23.827523050727613,155.4607199580823,25.0
34,Town05_Highway2,3,v_16_2,v_20_2,0,0.3912221879045962,56.57269225272782,343.4273077472721,59.64784940453063,35.83360286254846,877.8318775493905,4,v_16_2 > v_17_1 > v_18_2 > v_19_3 > v_20_2,15 > 10 > 30 > 10,BAT-ORB,22.87370283314114,23.264925021045737,159.2201085940751,25.0
46,Town05_Highway2,4,v_20_2,v_26_1,0,0.7599406439531922,80.81737594349232,519.1826240565076,103.0987722292096,43.51845867269932,683.1883887085347,6,v_20_2 > v_21_3 > v_22_2 > v_23_3 > v_24_1 > v_25_1 > v_26_1,20 > 30 > 30 > 5 > 25 > 10,BAT-ORB,22.11376218918795,22.87370283314114,161.94334233095526,25.0
