row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
7,Town05_Highway3,0,v_0_0,v_7_2,7,2.625214197741593,36.03380175346267,663.9661982465374,133.62626784514543,43.79718947922403,252.91886613204025,7,v_0_0 > v_1_2 > v_2_2 > v_3_2 > v_4_2 > v_5_2 > v_6_2 > v_7_2,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,17.37478580225841,20.0,86.16549078882437,20.0
12,Town05_Highway3,1,v_7_2,v_11_2,4,1.493472284049464,6.896187790748722,393.10381220925126,54.70794161335423,40.59321024985784,263.214668532966,4,v_7_2 > v_8_2 > v_9_2 > v_10_2 > v_11_2,30 > 25 > 30 > 30,CZL-ORB,15.881313518208945,17.37478580225841,101.78223749229274,20.0
22,Town05_Highway3,2,v_11_2,v_17_2,9,2.4740091093749825,11.11694670339195,588.8830532966081,83.03275319821302,60.19449922604953,238.0278435779,6,v_11_2 > v_12_2 > v_13_2 > v_14_2 > v_15_2 > v_16_2 > v_17_2,30 > 20 > 25 > 30 > 30 > 30,CZL-ORB,13.407304408833962,15.881313518208945,111.89871684229165,20.0
25,Town05_Highway3,3,v_17_2,v_20_2,2,0.8111634216416068,5.759999082645489,294.2400009173545,44.99999426540461,27.6000041319826,362.7382510935724,3,v_17_2 > v_18_2 > v_19_2 > v_20_2,25 > 30 > 30,CZL-ORB,12.596140987192355,13.407304408833962,130.9173569815666,20.0
36,Town05_Highway3,4,v_20_2,v_27_2,10,2.8364782643027686,12.731846365166794,687.2681536348332,106.09877245296236,63.60892180899924,242.2962877185205,7,v_20_2 > v_21_2 > v_22_2 > v_23_2 > v_24_2 > v_25_2 > v_26_2 > v_27_2,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,9.759662722889587,12.596140987192355,137.83169592412503,20.0
49,Town05_Highway3,5,v_27_2,v_34_2,12,2.823800583860521,13.371900745397596,686.6280992546024,102.6681036812576,66.07235584676786,243.1574322843605,7,v_27_2 > v_28_2 > v_29_2 > v_30_2 > v_31_2 > v_32_2 > v_33_2 > v_34_2,30 > 30 > 30 > 25 > 25 > 30 > 25,CZL-ORB,6.935862139029066,9.759662722889587,165.0095870459065,20.0
60,Town05_Highway3,6,v_34_2,v_41_2,10,2.7602214400700595,11.84206677218065,688.1579332278194,95.90257060995329,70.92127652501819,249.3125816783572,7,v_34_2 > v_35_2 > v_36_2 > v_37_2 > v_38_2 > v_39_2 > v_40_2 > v_41_2,30 > 30 > 25 > 30 > 30 > 30 > 30,CZL-ORB,4.175640698959006,6.935862139029066,197.3876230956901,20.0
67,Town05_Highway3,7,v_41_2,v_48_1,6,2.180081091235823,23.407722112081185,676.5922778879188,123.02936515454434,59.55366732751285,310.35188581190755,7,v_41_2 > v_42_2 > v_43_2 > v_44_1 > v_45_1 > v_46_1 > v_47_1 > v_48_1,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,1.995559607723183,4.175640698959006,235.16826410447914,20.0
