row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town03_Roundabout,0,v_0_0,v_3_5,0,0.2768627253931432,54.35001301902853,245.64998698097148,32.99999780396041,37.499922538888896,887.2627640002825,3,v_0_0 > v_1_2 > v_2_5 > v_3_5,30 > 30 > 20,BAT-ORB,24.723137274606856,25.0,133.15988401356861,25.0
6,Town03_Roundabout,1,v_3_5,v_6_5,0,0.1424493504426362,23.693768950248767,276.30623104975126,29.62986594255463,37.83738629850738,1939.6805263848405,3,v_3_5 > v_4_5 > v_5_6 > v_6_5,30 > 30 > 30,BAT-ORB,24.58068792416422,24.723137274606856,134.65107859747354,25.0
9,Town03_Roundabout,2,v_6_5,v_9_5,0,0.126396483417546,44.48391444166647,255.51608555833357,34.61813251491406,36.73196171512535,2021.5442601693728,3,v_6_5 > v_7_3 > v_8_3 > v_9_5,20 > 30 > 30,BAT-ORB,24.454291440746672,24.58068792416422,135.43140495537642,25.0
14,Town03_Roundabout,3,v_9_5,v_13_5,0,0.1248613481608531,45.720103556000055,354.279896444,47.94184737075521,47.406327746634446,2837.386442340806,4,v_9_5 > v_10_4 > v_11_4 > v_12_3 > v_13_5,30 > 30 > 25 > 30,BAT-ORB,24.32943009258582,24.454291440746672,136.13140697228764,25.0
23,Town03_Roundabout,4,v_13_5,v_16_1,0,0.1292682483295286,69.27598739937817,230.72401260062185,40.13999750840652,31.718467027246863,1784.8467476132555,3,v_13_5 > v_14_4 > v_15_5 > v_16_1,30 > 30 > 10,BAT-ORB,24.200161844256293,24.32943009258582,136.83004853260817,25.0
