row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway3,0,v_0_0,v_6_2,0,0.1054244565592401,52.73152813949912,547.2684718605009,108.25258807638178,43.61083116300528,5191.095972621683,6,v_0_0 > v_1_2 > v_2_2 > v_3_2 > v_4_2 > v_5_1 > v_6_2,30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,19.89457554344076,20.0,248.46947167956196,20.0
5,Town05_Highway3,1,v_6_2,v_12_2,0,0.006,31.561860961358548,568.4381390386415,87.75859614009087,50.6288342318487,94739.68983977358,6,v_6_2 > v_7_2 > v_8_2 > v_9_3 > v_10_3 > v_11_3 > v_12_2,30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,19.88857554344076,19.89457554344076,249.78615013626901,20.0
8,Town05_Highway3,2,v_12_2,v_15_2,0,0.1936184024621436,6.567794723233547,293.43220527676647,41.03093526318719,30.444925650231536,1515.518161214756,3,v_12_2 > v_13_2 > v_14_2 > v_15_2,30 > 30 > 15,BAT-ORB,19.694957140978616,19.88857554344076,249.86150580452914,20.0
11,Town05_Highway3,3,v_15_2,v_21_2,0,0.1760861666338574,31.60090402742413,568.3990959725759,85.32483564313515,55.794575151673655,3227.959963229079,6,v_15_2 > v_16_2 > v_17_2 > v_18_2 > v_19_3 > v_20_2 > v_21_2,30 > 30 > 30 > 30 > 30 > 20,BAT-ORB,19.518870974344757,19.694957140978616,252.3178597455083,20.0
16,Town05_Highway3,4,v_21_2,v_27_2,0,0.1312524287349861,31.031146859497134,568.9688531405029,79.09877447099024,53.813118843017165,4334.920569655264,6,v_21_2 > v_22_3 > v_23_3 > v_24_3 > v_25_3 > v_26_2 > v_27_2,30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,19.387618545609772,19.518870974344757,254.59410229838153,20.0
22,Town05_Highway3,5,v_27_2,v_34_2,0,0.3977127525870907,76.40252157999481,623.5974784200052,93.66810377410287,63.18486417020499,1567.9594741771589,7,v_27_2 > v_28_2 > v_29_3 > v_30_3 > v_31_3 > v_32_1 > v_33_3 > v_34_2,15 > 30 > 15 > 30 > 30 > 30 > 30,BAT-ORB,18.989905793022682,19.387618545609772,256.3176814058234,20.0
35,Town05_Highway3,6,v_34_2,v_41_2,0,0.1604099900458217,32.340388969944485,667.6596110300554,89.90257067564485,70.89185630280022,4162.207172005533,7,v_34_2 > v_35_2 > v_36_2 > v_37_2 > v_38_2 > v_39_3 > v_40_3 > v_41_2,30 > 30 > 30 > 20 > 30 > 30 > 30,BAT-ORB,18.82949580297686,18.989905793022682,261.6858391902662,20.0
39,Town05_Highway3,7,v_41_2,v_48_1,0,0.007,43.349954379724366,656.6500456202756,93.02936545739036,59.90027372165382,93807.14937432508,7,v_41_2 > v_42_3 > v_43_3 > v_44_3 > v_45_3 > v_46_3 > v_47_3 > v_48_1,30 > 30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,18.82249580297686,18.82949580297686,263.91516191344857,20.0
