row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway2,0,v_0_0,v_3_2,0,0.003,27.23041455958793,272.7695854404121,60.25258888338493,16.617512642472416,90923.19514680402,3,v_0_0 > v_1_2 > v_2_2 > v_3_2,30 > 30 > 30,BAT-ORB,14.997,15.0,319.7228102981395,15.0
1,Town05_Highway2,1,v_3_2,v_7_2,0,0.004,8.80338719387473,391.1966128061253,73.37367896176056,27.17967683675161,97799.15320153131,4,v_3_2 > v_4_2 > v_5_2 > v_6_2 > v_7_2,30 > 30 > 30 > 30,BAT-ORB,14.993,14.997,319.78676765166983,15.0
2,Town05_Highway2,2,v_7_2,v_13_2,0,0.1160977948545855,30.00901133747641,569.9909886625237,67.06187694996503,61.8509176767646,4909.57635652294,6,v_7_2 > v_8_3 > v_9_3 > v_10_3 > v_11_3 > v_12_3 > v_13_2,30 > 25 > 30 > 30 > 30 > 30,BAT-ORB,14.876902205145415,14.993,319.87208393731026,15.0
7,Town05_Highway2,3,v_13_2,v_19_2,0,0.006,30.384801739222475,569.6151982607776,88.6788141595451,57.691189564665166,94935.86637679626,6,v_13_2 > v_14_2 > v_15_2 > v_16_2 > v_17_2 > v_18_1 > v_19_2,30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,14.870902205145414,14.876902205145415,322.3683323543912,15.0
11,Town05_Highway2,4,v_19_2,v_26_1,0,0.007,24.24757873474856,675.7524212652515,130.0987702111821,54.51452759150864,96536.06018075022,7,v_19_2 > v_20_2 > v_21_2 > v_22_1 > v_23_1 > v_24_1 > v_25_1 > v_26_1,30 > 30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,14.863902205145415,14.870902205145414,322.4983991094168,15.0
