row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town03_Roundabout,0,v_0_0,v_3_5,0,0.003,53.616895694249806,246.38310430575015,30.999997813960363,38.29862583450113,82127.70143525006,3,v_0_0 > v_1_4 > v_2_5 > v_3_5,30 > 30 > 30,BAT-ORB,19.997,20.0,178.1795886765787,20.0
2,Town03_Roundabout,1,v_3_5,v_7_5,0,0.1187022406037165,25.99091300874392,374.00908699125614,41.20069097728874,50.94777270849972,3150.8174158217707,4,v_3_5 > v_4_4 > v_5_5 > v_6_5 > v_7_5,30 > 30 > 30 > 15,BAT-ORB,19.878297759396283,19.997,178.20631962452237,20.0
7,Town03_Roundabout,2,v_7_5,v_10_6,0,0.1426955846311153,19.117209386899752,280.88279061310027,29.18082413058716,38.25618955244185,1968.405619131208,3,v_7_5 > v_8_5 > v_9_6 > v_10_6,30 > 30 > 5,BAT-ORB,19.735602174765166,19.878297759396283,179.27046956760157,20.0
12,Town03_Roundabout,3,v_10_6,v_13_5,0,0.003,34.082077323376616,265.9179226766234,35.80833075249583,35.5075360597403,88639.30755887447,3,v_10_6 > v_11_4 > v_12_4 > v_13_5,30 > 30 > 30,BAT-ORB,19.732602174765166,19.735602174765166,180.56666029112318,20.0
16,Town03_Roundabout,4,v_13_5,v_16_1,0,0.003,44.74825684147247,255.25174315852752,41.13999750340652,31.510458951165194,85083.91438617583,3,v_13_5 > v_14_5 > v_15_3 > v_16_1,30 > 30 > 30,BAT-ORB,19.729602174765166,19.732602174765166,180.59411232081882,20.0
