row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
3,Town05_Highway3,0,v_0_0,v_6_2,3,1.5515932227547162,32.630414466207526,567.3695855337925,105.25258810638172,44.21751320275487,365.66902794694994,6,v_0_0 > v_1_2 > v_2_2 > v_3_2 > v_4_2 > v_5_2 > v_6_2,30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,13.448406777245284,15.0,113.45420328353106,15.0
5,Town05_Highway3,1,v_6_2,v_11_2,1,0.7179697282060437,9.971185578945498,490.0288144210545,83.08162135211795,40.172886526327,682.5201609063182,5,v_6_2 > v_7_2 > v_8_2 > v_9_2 > v_10_2 > v_11_2,30 > 30 > 30 > 30 > 30,CZL-ORB,12.73043704903924,13.448406777245284,127.93720129796176,15.0
7,Town05_Highway3,2,v_11_2,v_14_2,1,0.4878069574014716,4.925844376382592,295.0741556236174,41.03092572455802,30.444933741704443,604.8994405398926,3,v_11_2 > v_12_2 > v_13_2 > v_14_2,30 > 30 > 30,CZL-ORB,12.24263009163777,12.73043704903924,135.25097306127842,15.0
16,Town05_Highway3,3,v_14_2,v_21_2,8,2.1899459338546947,12.60173794066078,687.3982620593392,102.0018198410317,66.54957098389086,313.8882341489572,7,v_14_2 > v_15_2 > v_16_2 > v_17_2 > v_18_2 > v_19_2 > v_20_2 > v_21_2,30 > 30 > 30 > 25 > 30 > 30 > 30,CZL-ORB,10.052684157783075,12.24263009163777,140.45724442963146,15.0
25,Town05_Highway3,4,v_21_2,v_28_2,8,2.129406485562721,12.731846292821594,687.2681537071785,106.09877184892208,63.60892224307044,322.75103807883806,7,v_21_2 > v_22_2 > v_23_2 > v_24_2 > v_25_2 > v_26_2 > v_27_2 > v_28_2,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,7.923277672220354,10.052684157783075,166.41276163544478,15.0
30,Town05_Highway3,5,v_28_2,v_35_2,4,1.1823084000056152,12.166005907056515,687.8339940929435,101.368474871619,67.0039645576609,581.77206056362,7,v_28_2 > v_29_2 > v_30_2 > v_31_2 > v_32_2 > v_33_2 > v_34_2 > v_35_2,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,6.7409692722147385,7.923277672220354,196.2426136081896,15.0
34,Town05_Highway3,6,v_35_2,v_41_2,3,1.208541783849428,9.868388997918196,590.1316110020819,82.20220192166005,60.78966601249081,488.3005444151083,6,v_35_2 > v_36_2 > v_37_2 > v_38_2 > v_39_2 > v_40_2 > v_41_2,30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,5.532427488365311,6.7409692722147385,215.0559370230721,15.0
40,Town05_Highway3,7,v_41_2,v_48_1,5,1.1036604571300868,23.32428314210927,676.6757168578907,111.02936527454438,60.054301147344376,613.1194721042108,7,v_41_2 > v_42_2 > v_43_2 > v_44_2 > v_45_2 > v_46_2 > v_47_2 > v_48_1,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,4.428767031235225,5.532427488365311,236.15204887217027,15.0
