row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
1,Town01_T-Intersection,0,v_0_0,v_3_6,1,0.3558350059937004,63.60000001192675,236.3999999880733,30.000000100117177,38.39999992843951,664.3528489500508,3,v_0_0 > v_1_6 > v_2_6 > v_3_6,30 > 30 > 30,CZL-ORB,19.6441649940063,20.0,44.24423040855388,20.0
8,Town01_T-Intersection,1,v_3_6,v_10_6,6,1.6099517800572407,8.400000027773133,691.5999999722268,70.00000023317989,89.5999998333612,429.5780833557869,7,v_3_6 > v_4_6 > v_5_6 > v_6_6 > v_7_6 > v_8_6 > v_9_6 > v_10_6,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,18.03421321394906,19.6441649940063,45.94064947513508,20.0
13,Town01_T-Intersection,2,v_10_6,v_14_6,4,1.023671404486469,4.504626239634662,395.4953737603654,37.23695351370554,52.97224256219202,386.3499283334656,4,v_10_6 > v_11_6 > v_12_6 > v_13_6 > v_14_6,30 > 30 > 30 > 30,CZL-ORB,17.01054180946259,18.03421321394906,54.46638705189107,20.0
17,Town01_T-Intersection,3,v_14_6,v_18_6,3,0.9329979110332978,4.851197517155447,395.1488024828445,40.4265138071998,50.89281489706731,423.5259241311871,4,v_14_6 > v_15_6 > v_16_6 > v_17_6 > v_18_6,30 > 30 > 30 > 30,CZL-ORB,16.077543898429294,17.01054180946259,60.69279216708543,20.0
18,Town01_T-Intersection,4,v_18_6,v_21_1,0,0.003,53.59999882394801,246.400001176052,29.999990202022985,38.40000705631189,82133.33372535066,3,v_18_6 > v_19_6 > v_20_6 > v_21_1,30 > 30 > 30,CZL-ORB,16.074543898429294,16.077543898429294,66.9856540872364,20.0
