row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town05_Highway2,0,v_0_0,v_3_2,0,0.3403582539109497,50.93470946144775,249.06529053855223,63.252588853385,16.154962846655355,731.7739108031648,3,v_0_0 > v_1_2 > v_2_1 > v_3_2,10 > 30 > 30,BAT-ORB,9.65964174608905,10.0,255.6097863782079,10.0
3,Town05_Highway2,1,v_3_2,v_6_2,0,0.3879219718504838,26.77122615656457,273.2287738434354,47.99999919299692,26.99331852053286,704.33951585693,3,v_3_2 > v_4_2 > v_5_1 > v_6_2,20 > 30 > 25,BAT-ORB,9.271719774238568,9.65964174608905,264.6162177615934,10.0
7,Town05_Highway2,2,v_6_2,v_12_2,0,0.7379291373376858,35.6852330389508,564.3147669610493,87.75859614009079,50.6288342318487,764.7275848152498,6,v_6_2 > v_7_2 > v_8_2 > v_9_3 > v_10_3 > v_11_3 > v_12_2,20 > 30 > 20 > 15 > 30 > 30,BAT-ORB,8.533790636900882,9.271719774238568,275.68756671056707,10.0
16,Town05_Highway2,3,v_12_2,v_19_2,0,0.007,31.826582360923247,668.1734176390768,84.35577483398566,69.0405058344605,95453.34537701096,7,v_12_2 > v_13_3 > v_14_3 > v_15_3 > v_16_3 > v_17_3 > v_18_2 > v_19_2,30 > 30 > 30 > 30 > 30 > 30 > 30,BAT-ORB,8.526790636900882,8.533790636900882,299.52666669947126,10.0
26,Town05_Highway2,4,v_19_2,v_26_1,0,0.3821785745805579,85.00808716164698,614.9919128383531,106.09877045118196,52.11147675660553,1609.1742283389603,7,v_19_2 > v_20_3 > v_21_3 > v_22_3 > v_23_3 > v_24_1 > v_25_3 > v_26_1,30 > 30 > 30 > 25 > 30 > 30 > 30,BAT-ORB,8.144612062320325,8.526790636900882,299.7725607006471,10.0
