row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
4,Town05_Highway1,0,v_0_0,v_3_2,4,1.5430684834919384,27.23041455958793,272.7695854404121,60.25258888338493,16.617512642472416,176.77088759089878,3,v_0_0 > v_1_2 > v_2_2 > v_3_2,30 > 30 > 30,CZL-ORB,8.456931516508062,10.0,67.14823206705724,10.0
10,Town05_Highway1,1,v_3_2,v_7_2,5,1.912381120583449,9.163387248677903,390.8366127513221,73.37367896176053,27.17967683675161,204.37171678001167,4,v_3_2 > v_4_2 > v_5_2 > v_6_2 > v_7_2,25 > 30 > 30 > 30,CZL-ORB,6.544550395924613,8.456931516508062,87.92970721125104,10.0
14,Town05_Highway1,2,v_7_2,v_12_2,3,1.1383222049905235,8.209745941383678,491.79025405861626,68.38491630262152,50.74152435169792,432.030801035556,5,v_7_2 > v_8_2 > v_9_2 > v_10_2 > v_11_2 > v_12_2,30 > 30 > 30 > 30 > 30,CZL-ORB,5.4062281909340895,6.544550395924613,122.81834122520387,10.0
19,Town05_Highway1,3,v_12_2,v_16_2,4,1.5180339729256898,6.567795944554418,393.4322040554456,54.70792336981944,40.593224332673486,259.172199748065,4,v_12_2 > v_13_2 > v_14_2 > v_15_2 > v_16_2,30 > 30 > 30 > 30,CZL-ORB,3.8881942180083997,5.4062281909340895,149.84722762546923,10.0
22,Town05_Highway1,4,v_16_2,v_19_1,2,1.409020588892376,16.917838963055104,283.0821610369449,57.64784760149115,18.49296622166938,200.90704370719973,3,v_16_2 > v_17_2 > v_18_2 > v_19_1,30 > 30 > 30,CZL-ORB,2.4791736291160236,3.8881942180083997,195.3664238886627,10.0
