row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
2,Town01_T-Intersection,0,v_0_0,v_3_6,2,1.4209562919035863,63.60000001192675,236.3999999880733,30.000000100117177,38.39999992843951,166.36683431788012,3,v_0_0 > v_1_6 > v_2_6 > v_3_6,30 > 30 > 30,CZL-ORB,18.579043708096414,20.0,44.24423040855388,20.0
16,Town01_T-Intersection,1,v_3_6,v_8_6,13,3.2687760668736496,6.000000019775122,493.99999998022486,50.00000016600825,63.99999988134927,151.1269018965562,5,v_3_6 > v_4_6 > v_5_6 > v_6_6 > v_7_6 > v_8_6,30 > 30 > 30 > 30 > 30,CZL-ORB,15.310267641222765,18.579043708096414,51.41728278075721,20.0
26,Town01_T-Intersection,2,v_8_6,v_15_6,9,2.673961158876485,8.155824938586056,691.8441750614139,67.6634771678932,91.06505036848368,258.73381622046645,7,v_8_6 > v_9_6 > v_10_6 > v_11_6 > v_12_6 > v_13_6 > v_14_6 > v_15_6,30 > 30 > 30 > 30 > 30 > 30 > 30,CZL-ORB,12.63630648234628,15.310267641222765,72.6467678174712,20.0
34,Town01_T-Intersection,3,v_15_6,v_18_6,7,2.567420890831699,3.599998826202066,296.40000117379793,29.999990220183776,38.4000070427876,115.44659554350714,3,v_15_6 > v_16_6 > v_17_6 > v_18_6,30 > 30 > 30,CZL-ORB,10.068885591514581,12.63630648234628,96.38482534567332,20.0
36,Town01_T-Intersection,4,v_18_6,v_21_1,1,0.4911957380263381,53.59999882394801,246.400001176052,29.999990202022985,38.40000705631189,501.6330193867438,3,v_18_6 > v_19_6 > v_20_6 > v_21_1,30 > 30 > 30,CZL-ORB,9.577689853488243,10.068885591514581,126.44700337298016,20.0
