row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town01_T-Intersection,0,v_0_0,v_4_6,0,0.1783640553354944,65.10723565554764,334.8927643444524,46.00000007306272,50.79658167707159,1877.579895313183,4,v_0_0 > v_1_4 > v_2_4 > v_3_4 > v_4_6,30 > 25 > 30 > 30,BAT-ORB,24.821635944664507,25.0,155.4997326668726,25.0
4,Town01_T-Intersection,1,v_4_6,v_7_6,0,0.003,103.94340516928844,196.0565948307116,36.00000004011718,36.33956898426925,65352.19827690385,3,v_4_6 > v_5_5 > v_6_1 > v_7_6,30 > 30 > 30,BAT-ORB,24.818635944664507,24.821635944664507,156.61712730531949,25.0
11,Town01_T-Intersection,2,v_7_6,v_12_6,0,0.1635557281305257,148.9407148969532,351.0592851030468,59.00000007600825,61.159134128807096,2146.4199946753542,5,v_7_6 > v_8_1 > v_9_6 > v_10_4 > v_11_4 > v_12_6,30 > 30 > 30 > 30 > 10,BAT-ORB,24.65508021653398,24.818635944664507,156.6360586995735,25.0
22,Town01_T-Intersection,3,v_12_6,v_15_6,0,0.1057529092474548,3.355824922739682,296.6441750772603,27.663477034830493,39.86505046356191,2805.068694452012,3,v_12_6 > v_13_6 > v_14_6 > v_15_6,30 > 30 > 30,BAT-ORB,24.54932730728653,24.65508021653398,157.67514372412455,25.0
23,Town01_T-Intersection,4,v_15_6,v_21_1,0,0.1382454821889721,165.02806064499097,434.971939355009,79.999980222206,71.92512201058936,3146.373628039664,6,v_15_6 > v_16_1 > v_17_6 > v_18_1 > v_19_1 > v_20_1 > v_21_1,30 > 30 > 30 > 30 > 30 > 5,BAT-ORB,24.411081825097558,24.54932730728653,158.35437232196426,25.0
