graph_id,segment_index,start_node,end_node,speed,risk,cost,utility,frenet_progress,time_progress
Town03_Roundabout,0,v_0_0,v_1_4,30,1.2878978795993672,41.20844729159155,58.79155270840845,10.969195621962172,12.749316250450711
Town03_Roundabout,1,v_1_4,v_2_4,30,0.001,1.2000002466582755,98.79999975334172,10.997980400152187,12.799998520050345
Town03_Roundabout,2,v_2_4,v_3_4,30,0.001,1.2000001861807472,98.79999981381926,10.99769644947407,12.799998882915515
Town03_Roundabout,3,v_3_4,v_4_5,30,0.3532156769034359,11.208447739848689,88.7915522601513,10.035123334823993,12.749313560907868
Town03_Roundabout,4,v_4_5,v_5_5,30,0.001,1.200000218048753,98.79999978195124,10.000001817072942,12.799998691707483
Town03_Roundabout,5,v_5_5,v_6_5,30,4.815698601669104,1.2762668176811436,98.72373318231885,10.629866118029653,12.342399093913137
Town03_Roundabout,6,v_6_5,v_7_5,30,0.001,1.1488751268272057,98.8511248731728,9.570825044734105,13.106749239036766
Town03_Roundabout,7,v_7_5,v_8_5,30,2.6179615247882677,1.1664321031783935,98.8335678968216,10.265266812938554,13.001407380929638
Town03_Roundabout,8,v_8_5,v_9_5,30,0.001,1.3102167013963997,98.6897832986036,10.782040678300675,12.138699791621601
Town03_Roundabout,9,v_9_5,v_10_5,30,0.001,1.1716300634904386,98.82836993650956,10.065007133530006,12.970219619057367
Town03_Roundabout,10,v_10_5,v_11_5,30,0.001,1.4690411879219323,98.53095881207807,11.952391533722519,11.185752872468404
Town03_Roundabout,11,v_11_5,v_12_5,30,2.3633641769709763,1.4309343453539698,98.56906565464602,11.924450959192171,11.41439392787618
Town03_Roundabout,12,v_12_5,v_13_5,30,0.864886891717298,1.1999997318104678,98.80000026818954,9.999997765087315,12.800001609137192
Town03_Roundabout,13,v_13_5,v_14_5,30,0.001,1.215600226792695,98.7843997732073,10.130001889939166,12.70639863924383
Town03_Roundabout,14,v_14_5,v_15_5,30,0.001,1.20000018952308,98.79999981047692,10.000001579359036,12.799998862861518
Town03_Roundabout,15,v_15_5,v_16_1,30,0.001,42.281199285292985,57.718800714707015,19.00999404410831,6.31280428824207
