graph_id,segment_index,start_node,end_node,speed,risk,cost,utility,frenet_progress,time_progress
Town03_Roundabout,0,v_0_0,v_1_4,30,0.001,41.20844729159155,58.79155270840845,10.969195621962172,12.749316250450711
Town03_Roundabout,1,v_1_4,v_2_4,30,0.001,1.2000002466582755,98.79999975334172,10.997980400152187,12.799998520050345
Town03_Roundabout,2,v_2_4,v_3_5,30,0.8032650933641354,11.208448164591124,88.79155183540888,10.032821786846029,12.749311012453257
Town03_Roundabout,3,v_3_5,v_4_5,30,0.001,1.1999997602942463,98.80000023970575,9.999998002452031,12.80000143823452
Town03_Roundabout,4,v_4_5,v_5_5,30,0.001,1.200000218048753,98.79999978195124,10.000001817072942,12.799998691707483
Town03_Roundabout,5,v_5_5,v_6_5,30,4.91194371990515,1.2762668176811436,98.72373318231885,10.629866118029653,12.342399093913137
Town03_Roundabout,6,v_6_5,v_7_5,30,0.001,1.1488751268272057,98.8511248731728,9.570825044734105,13.106749239036766
Town03_Roundabout,7,v_7_5,v_8_5,30,0.001,1.1664321031783935,98.8335678968216,10.265266812938554,13.001407380929638
Town03_Roundabout,8,v_8_5,v_9_5,30,0.9018041265488522,1.3102167013963997,98.6897832986036,10.782040678300675,12.138699791621601
Town03_Roundabout,9,v_9_5,v_10_6,30,0.998899192024328,11.106894688533737,88.89310531146626,9.133516634777848,13.35863186879758
Town03_Roundabout,10,v_10_6,v_11_5,30,0.001,11.428129649044703,88.5718703509553,11.883882038233907,11.43122210573178
Town03_Roundabout,11,v_11_5,v_12_5,30,1.053102367903166,1.4309343453539698,98.56906565464602,11.924450959192171,11.41439392787618
Town03_Roundabout,12,v_12_5,v_13_5,30,0.001,1.1999997318104678,98.80000026818954,9.999997765087315,12.800001609137192
Town03_Roundabout,13,v_13_5,v_14_4,30,0.001,11.223941376526309,88.77605862347369,10.958156477148831,12.656351740842148
Town03_Roundabout,14,v_14_4,v_15_3,30,0.001,11.208448110834153,88.79155188916585,11.147373891906994,12.749311334995078
Town03_Roundabout,15,v_15_3,v_16_1,30,0.001,22.29903864033096,77.70096135966904,20.034467129350702,6.205768158014248
