graph_id,epoch,segment_index,start_node,end_node,speed,risk,cost,utility,delta,objective,remaining_after,total_budget,psi
Town03_Roundabout,0,3,v_0_0,v_1_5,30,2.276542084906875,51.19999930253974,48.80000069746026,3.829868753178535,345.2000005014306,1.170131246821465,5.0,3.714628150863813
Town03_Roundabout,0,2,v_1_5,v_2_5,30,1.5513266682716602,1.200000218048756,98.79999978195124,3.829868753178535,345.2000005014306,1.170131246821465,5.0,3.714628150863813
Town03_Roundabout,0,1,v_2_5,v_3_5,30,0.001,1.2000002176866946,98.79999978231332,3.829868753178535,345.2000005014306,1.170131246821465,5.0,3.714628150863813
Town03_Roundabout,0,0,v_3_5,v_4_5,30,0.001,1.1999997602942465,98.80000023970577,3.829868753178535,345.2000005014306,1.170131246821465,5.0,3.714628150863813
Town03_Roundabout,1,0,v_4_5,v_5_3,30,0.001,21.23361805556751,78.76638194443248,0.004,345.1940182476005,1.166131246821465,5.0,9110.8564187359
Town03_Roundabout,1,1,v_5_3,v_6_6,30,0.001,31.334629934339933,68.66537006566007,0.004,345.1940182476005,1.166131246821465,5.0,9110.8564187359
Town03_Roundabout,1,2,v_6_6,v_7_6,30,0.001,1.122318383354792,98.8776816166452,0.004,345.1940182476005,1.166131246821465,5.0,9110.8564187359
Town03_Roundabout,1,3,v_7_6,v_8_6,30,0.001,1.115415379137242,98.88458462086275,0.004,345.1940182476005,1.166131246821465,5.0,9110.8564187359
Town03_Roundabout,2,0,v_10_3,v_11_5,30,0.001,21.588116244523253,78.41188375547675,0.003,245.81895443886438,1.1631312468214652,5.0,9185.428518773007
Town03_Roundabout,2,1,v_8_6,v_9_4,30,0.001,21.27163918582689,78.72836081417312,0.003,245.81895443886438,1.1631312468214652,5.0,9185.428518773007
Town03_Roundabout,2,2,v_9_4,v_10_3,30,0.001,11.321290130785478,88.67870986921452,0.003,245.81895443886438,1.1631312468214652,5.0,9185.428518773007
Town03_Roundabout,3,2,v_11_5,v_12_2,30,0.001,31.494600506229474,68.50539949377053,0.004,334.81479278680865,1.1591312468214652,5.0,9241.757876934713
Town03_Roundabout,3,3,v_12_2,v_13_2,30,0.001,1.1999997215547524,98.80000027844524,0.004,334.81479278680865,1.1591312468214652,5.0,9241.757876934713
Town03_Roundabout,3,1,v_13_2,v_14_2,30,0.001,1.2156002267926935,98.78439977320733,0.004,334.81479278680865,1.1591312468214652,5.0,9241.757876934713
Town03_Roundabout,3,0,v_14_2,v_15_5,30,0.001,31.275006758614417,68.72499324138559,0.004,334.81479278680865,1.1591312468214652,5.0,9241.757876934713
Town03_Roundabout,4,0,v_15_5,v_16_1,30,0.001,42.281199285292985,57.718800714707015,0.006194731580881531,57.718800714707015,1.1529365152405837,5.0,9317.40140167517
