graph_id,epoch,segment_index,start_node,end_node,speed,risk,cost,utility,delta,objective,remaining_after,total_budget,psi
Town01_T-Intersection,0,3,v_0_0,v_1_6,30,0.001,61.200000003928736,38.799999996071264,4.665273169837144,433.9999999802203,15.334726830162856,20.0,3.714628150863813
Town01_T-Intersection,0,2,v_1_6,v_2_6,30,0.001,1.2000000040738328,98.79999999592616,4.665273169837144,433.9999999802203,15.334726830162856,20.0,3.714628150863813
Town01_T-Intersection,0,4,v_2_6,v_3_6,30,4.661273169837145,1.2000000039241798,98.79999999607584,4.665273169837144,433.9999999802203,15.334726830162856,20.0,3.714628150863813
Town01_T-Intersection,0,0,v_3_6,v_4_6,30,0.001,1.2000000039241885,98.7999999960758,4.665273169837144,433.9999999802203,15.334726830162856,20.0,3.714628150863813
Town01_T-Intersection,0,1,v_4_6,v_5_6,30,0.001,1.2000000039287362,98.79999999607126,4.665273169837144,433.9999999802203,15.334726830162856,20.0,3.714628150863813
Town01_T-Intersection,1,1,v_5_6,v_6_6,30,1.9010860276569312,1.200000004073836,98.79999999592616,1.9030860276569312,296.39999998807775,13.431640802505925,20.0,40.01022460399781
Town01_T-Intersection,1,2,v_6_6,v_7_6,30,0.001,1.2000000039241765,98.79999999607584,1.9030860276569312,296.39999998807775,13.431640802505925,20.0,40.01022460399781
Town01_T-Intersection,1,0,v_7_6,v_8_6,30,0.001,1.2000000039241852,98.7999999960758,1.9030860276569312,296.39999998807775,13.431640802505925,20.0,40.01022460399781
Town01_T-Intersection,2,0,v_10_6,v_11_6,30,1.3621277807301977,1.2000000039241765,98.79999999607584,1.3641277807301975,296.39999998807787,12.067513021775728,20.0,105.50058355371996
Town01_T-Intersection,2,2,v_8_6,v_9_6,30,0.001,1.200000004073836,98.79999999592616,1.3641277807301975,296.39999998807787,12.067513021775728,20.0,105.50058355371996
Town01_T-Intersection,2,1,v_9_6,v_10_6,30,0.001,1.2000000039241765,98.79999999607584,1.3641277807301975,296.39999998807787,12.067513021775728,20.0,105.50058355371996
Town01_T-Intersection,3,1,v_11_6,v_12_6,30,0.001,1.2000000039241852,98.7999999960758,1.0814015496864229,294.34846856500394,10.986111472089306,20.0,211.39116576047573
Town01_T-Intersection,3,0,v_12_6,v_13_6,10,1.0794015496864229,3.520357798928331,96.47964220107168,1.0814015496864229,294.34846856500394,10.986111472089306,20.0,211.39116576047573
Town01_T-Intersection,3,2,v_13_6,v_14_6,30,0.001,0.931173632143524,99.06882636785647,1.0814015496864229,294.34846856500394,10.986111472089306,20.0,211.39116576047573
Town01_T-Intersection,4,6,v_14_6,v_15_6,30,0.001,1.251198690953381,98.7488013090466,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,5,v_15_6,v_16_5,30,0.001,11.208444849497091,88.79155515050292,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,4,v_16_5,v_17_5,30,0.001,1.2000002190935075,98.79999978090648,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,3,v_17_5,v_18_5,30,0.001,1.1999983880391631,98.80000161196084,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,2,v_18_5,v_19_5,30,0.001,1.2000038800890676,98.79999611991092,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,0,v_19_5,v_20_4,30,0.001,11.208447406775935,88.79155259322407,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
Town01_T-Intersection,4,1,v_20_4,v_21_1,30,0.001,31.233616020970192,68.76638397902981,0.00700000000887014,641.4982905445816,10.979111472080435,20.0,366.7429307667554
