graph_id,segment_index,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,0,v_0_0,v_1_2,30,0.001,21.331841809013575,978.6681581909864
Town01_T-Intersection,1,v_1_2,v_2_3,30,0.001,11.208441354095687,988.7915586459043
Town01_T-Intersection,2,v_2_3,v_3_3,20,,,
Town01_T-Intersection,3,v_3_3,v_4_3,30,0.001,1.2000054970882128,998.7999945029118
Town01_T-Intersection,4,v_4_3,v_5_3,30,0.001,1.2000000039287326,998.7999999960713
Town01_T-Intersection,5,v_5_3,v_6_6,30,0.001,31.275003229985145,968.7249967700149
Town01_T-Intersection,6,v_6_6,v_7_6,30,0.001,1.2000000039241763,998.7999999960758
Town01_T-Intersection,7,v_7_6,v_8_6,20,0.6740649341781859,1.8000000058862777,998.1999999941137
Town01_T-Intersection,8,v_8_6,v_9_6,30,1.7099049201155114,1.2000000040738361,998.7999999959262
Town01_T-Intersection,9,v_9_6,v_10_6,10,0.768712675040801,3.6000000117725293,996.3999999882275
Town01_T-Intersection,10,v_10_6,v_11_6,30,0.001,1.2000000039241763,998.7999999960758
Town01_T-Intersection,11,v_11_6,v_12_6,20,1.1247036084894908,1.8000000058862777,998.1999999941137
Town01_T-Intersection,12,v_12_6,v_13_6,30,0.001,1.173452599642777,998.8265474003572
Town01_T-Intersection,13,v_13_6,v_14_6,25,2.283679727617033,1.117408358572229,998.8825916414278
Town01_T-Intersection,14,v_14_6,v_15_6,30,0.001,1.251198690953381,998.7488013090466
Town01_T-Intersection,15,v_15_6,v_16_6,30,1.326484409154211,1.2000002190693957,998.7999997809306
Town01_T-Intersection,16,v_16_6,v_17_6,30,0.001,1.2000002190935108,998.7999997809064
Town01_T-Intersection,17,v_17_6,v_18_6,30,1.1832988811783793,1.1999983880391596,998.8000016119609
Town01_T-Intersection,18,v_18_6,v_19_6,30,0.001,1.20000021686339,998.7999997831366
Town01_T-Intersection,19,v_19_6,v_20_6,20,0.44532255777499363,1.7999975820227065,998.2000024179773
Town01_T-Intersection,20,v_20_6,v_21_1,30,0.001,51.20000021906949,948.7999997809305
