graph_id,segment_index,start_node,end_node,speed,risk,cost,utility
Town03_Roundabout,0,v_0_0,v_1_4,30,0.3718367654268603,41.20844729159155,958.7915527084084
Town03_Roundabout,1,v_1_4,v_2_4,30,0.13931507970758508,1.2000002466582755,998.7999997533417
Town03_Roundabout,2,v_2_4,v_3_4,30,0.001,1.2000001861807472,998.7999998138192
Town03_Roundabout,3,v_3_4,v_4_5,30,0.001,11.208447739848689,988.7915522601513
Town03_Roundabout,4,v_4_5,v_5_5,20,0.4881749865327403,1.8000003270731295,998.1999996729269
Town03_Roundabout,5,v_5_5,v_6_5,30,4.379832866561199,1.2762668176811436,998.7237331823188
Town03_Roundabout,6,v_6_5,v_7_5,30,0.3035273912414063,1.1488751268272057,998.8511248731728
Town03_Roundabout,7,v_7_5,v_8_5,30,0.001,1.1664321031783935,998.8335678968216
Town03_Roundabout,8,v_8_5,v_9_6,30,0.10889636086697652,11.358888108953284,988.6411118910468
Town03_Roundabout,9,v_9_6,v_10_6,20,0.6649328652079242,1.6479722936920187,998.352027706308
Town03_Roundabout,10,v_10_6,v_11_5,30,1.5146449502554165,11.428129649044703,988.5718703509554
Town03_Roundabout,11,v_11_5,v_12_5,30,0.001,1.4309343453539698,998.569065654646
Town03_Roundabout,12,v_12_5,v_13_5,30,1.2876411070757923,1.1999997318104678,998.8000002681895
Town03_Roundabout,13,v_13_5,v_14_5,30,0.001,1.215600226792695,998.7843997732073
Town03_Roundabout,14,v_14_5,v_15_5,30,0.001,1.20000018952308,998.799999810477
Town03_Roundabout,15,v_15_5,v_16_1,30,0.001,42.281199285292985,957.718800714707
