graph_id,segment_index,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,0,v_0_0,v_1_3,30,0.8160095699992281,31.275011845347226,968.7249881546528
Town01_T-Intersection,1,v_1_3,v_2_5,30,0.001,21.233613763265183,978.7663862367348
Town01_T-Intersection,2,v_2_5,v_3_5,30,0.001,1.2000000039241798,998.7999999960758
Town01_T-Intersection,3,v_3_5,v_4_6,15,0.31967467748252226,12.41689677015572,987.5831032298443
Town01_T-Intersection,4,v_4_6,v_5_6,30,0.001,1.2000000039287362,998.7999999960713
Town01_T-Intersection,5,v_5_6,v_6_6,30,0.7087044192593154,1.2000000040738361,998.7999999959262
Town01_T-Intersection,6,v_6_6,v_7_6,30,0.26604044514337827,1.2000000039241763,998.7999999960758
Town01_T-Intersection,7,v_7_6,v_8_6,5,1.4476155095858307,7.200000023545111,992.7999999764548
Town01_T-Intersection,8,v_8_6,v_9_6,30,0.001,1.2000000040738361,998.7999999959262
Town01_T-Intersection,9,v_9_6,v_10_7,30,0.7145558288611933,11.208448755100914,988.7915512448991
Town01_T-Intersection,10,v_10_7,v_11_7,10,0.5804549601605102,3.6000000117725293,996.3999999882275
Town01_T-Intersection,11,v_11_7,v_12_7,30,0.001,1.1999981728695113,998.8000018271305
Town01_T-Intersection,12,v_12_7,v_13_7,30,0.30370013410478364,1.1344651104821877,998.8655348895178
Town01_T-Intersection,13,v_13_7,v_14_6,30,0.12675150812098257,10.879256057833096,989.1207439421669
Town01_T-Intersection,14,v_14_6,v_15_6,30,2.345980098078054,1.251198690953381,998.7488013090466
Town01_T-Intersection,15,v_15_6,v_16_6,30,0.001,1.2000002190693957,998.7999997809306
Town01_T-Intersection,16,v_16_6,v_17_6,25,0.7620051536673349,1.440000262912213,998.5599997370878
Town01_T-Intersection,17,v_17_6,v_18_6,30,0.001,1.1999983880391596,998.8000016119609
Town01_T-Intersection,18,v_18_6,v_19_6,30,0.001,1.20000021686339,998.7999997831366
Town01_T-Intersection,19,v_19_6,v_20_6,30,0.001,1.1999983880151375,998.8000016119848
Town01_T-Intersection,20,v_20_6,v_21_1,25,1.188630111989036,51.44000026288339,948.5599997371166
