graph_id,segment_index,start_node,end_node,speed,risk,cost,utility
Town03_Roundabout,0,v_0_0,v_1_4,30,0.001,41.20844729159155,58.79155270840845
Town03_Roundabout,1,v_1_4,v_2_4,30,0.001,1.2000002466582755,98.79999975334172
Town03_Roundabout,2,v_2_4,v_3_4,30,0.001,1.2000001861807472,98.79999981381926
Town03_Roundabout,3,v_3_4,v_4_4,30,0.001,1.1999997602942427,98.80000023970575
Town03_Roundabout,4,v_4_4,v_5_5,30,0.001,11.208448195117013,88.79155180488299
Town03_Roundabout,5,v_5_5,v_6_6,30,0.001,11.273904689234472,88.72609531076553
Town03_Roundabout,6,v_6_6,v_7_6,30,0.001,1.122318383354792,98.8776816166452
Town03_Roundabout,7,v_7_6,v_8_6,30,0.001,1.115415379137242,98.88458462086275
Town03_Roundabout,8,v_8_6,v_9_6,30,1.3735013846849156,1.32322029661332,98.67677970338669
Town03_Roundabout,9,v_9_6,v_10_6,30,0.001,1.098648195794679,98.90135180420532
Town03_Roundabout,10,v_10_6,v_11_5,30,0.001,11.428129649044703,88.5718703509553
Town03_Roundabout,11,v_11_5,v_12_5,25,1.215588644681085,1.7171212144247638,98.28287878557524
Town03_Roundabout,12,v_12_5,v_13_5,30,1.269863231537112,1.1999997318104678,98.80000026818954
Town03_Roundabout,13,v_13_5,v_14_5,30,0.001,1.215600226792695,98.7843997732073
Town03_Roundabout,14,v_14_5,v_15_5,30,2.9626677398512347,1.20000018952308,98.79999981047692
Town03_Roundabout,15,v_15_5,v_16_1,30,3.023172397641119,42.281199285292985,57.718800714707015
