row_index,graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes,path_speeds,algorithm,remaining_budget,remaining_before,psi,total_budget
0,Town01_T-Intersection,0,v_0_0,v_3_6,0,0.4653121634981635,64.45279282779512,235.54720717220488,35.00000005011718,37.10824756059054,506.21330291774007,3,v_0_0 > v_1_2 > v_2_5 > v_3_6,30 > 20 > 30,CZL-ORB,9.534687836501837,10.0,3.714628150863813,10.0
4,Town01_T-Intersection,1,v_3_6,v_7_6,0,0.7983541620469082,24.81689584610683,375.1831041538932,39.00000014306272,51.09862492335901,469.945698275008,4,v_3_6 > v_4_6 > v_5_6 > v_6_7 > v_7_6,30 > 30 > 30 > 30,CZL-ORB,8.736333674454928,9.534687836501837,5.967998917167276,10.0
9,Town01_T-Intersection,2,v_7_6,v_13_6,0,0.9447149112809604,94.8339277530848,505.1660722469152,59.700391168248416,76.00520779145185,534.7285897731297,6,v_7_6 > v_8_7 > v_9_7 > v_10_7 > v_11_6 > v_12_3 > v_13_6,20 > 20 > 30 > 5 > 25 > 30,CZL-ORB,7.791618763173967,8.736333674454928,13.462395376583627,10.0
18,Town01_T-Intersection,3,v_13_6,v_17_6,0,0.9392637127926788,89.00651435585189,310.9934856441481,45.96308959896969,49.51153445665304,331.1034818107498,4,v_13_6 > v_14_2 > v_15_3 > v_16_5 > v_17_6,25 > 30 > 15 > 10,CZL-ORB,6.852355050381289,7.791618763173967,35.252067341495454,10.0
26,Town01_T-Intersection,4,v_17_6,v_21_1,0,0.7942158667357226,58.10001620973127,341.8999837902687,45.99997670955968,50.29994327110147,430.4874758993411,4,v_17_6 > v_18_6 > v_19_3 > v_20_3 > v_21_1,20 > 30 > 30 > 10,CZL-ORB,6.058139183645566,6.852355050381289,91.79827834323976,10.0
