graph_id,epoch,segment_index,start_node,end_node,speed,risk,cost,utility,delta,objective,remaining_after,total_budget,psi
Town05_Highway3,0,0,v_0_0,v_1_1,30,0.2047825489416632,11.859277433942587,88.1407225660574,1.367724452279158,272.67872980872926,23.63227554772084,25.0,69.99718221194803
Town05_Highway3,0,1,v_1_1,v_2_1,30,0.6891410956763899,3.6114310145219286,96.38856898547807,1.367724452279158,272.67872980872926,23.63227554772084,25.0,69.99718221194803
Town05_Highway3,0,2,v_2_1,v_3_2,30,0.4738008076611049,11.850561742806212,88.1494382571938,1.367724452279158,272.67872980872926,23.63227554772084,25.0,69.99718221194803
Town05_Highway3,1,0,v_3_2,v_4_2,30,0.125383738783979,1.800000274015869,98.19999972598411,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,1,v_4_2,v_5_2,30,0.33252771702267,1.7999993585878535,98.20000064141216,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,6,v_5_2,v_6_2,30,0.4777918798541138,1.8000002740158685,98.19999972598411,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,4,v_6_2,v_7_2,30,0.001,3.403387287255139,96.59661271274486,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,5,v_7_2,v_8_2,30,0.5985984361181254,1.6419504909372902,98.35804950906272,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,3,v_8_2,v_9_2,30,0.2476707753271742,1.6419474952918114,98.35805250470818,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,1,2,v_9_2,v_10_2,30,0.3038119031678779,1.641949388949579,98.35805061105042,2.08678445027394,686.2707654309465,21.545491097446902,25.0,75.72992654526945
Town05_Highway3,2,0,v_10_2,v_11_2,30,0.2261831105115318,1.6419509165116783,98.35804908348832,1.0370818811737914,295.0741551146983,20.50840921627311,25.0,85.39408494237264
Town05_Highway3,2,1,v_11_2,v_12_2,30,0.8098987706622596,1.6419476496933194,98.35805235030668,1.0370818811737914,295.0741551146983,20.50840921627311,25.0,85.39408494237264
Town05_Highway3,2,2,v_12_2,v_13_2,30,0.001,1.641946319096723,98.35805368090328,1.0370818811737914,295.0741551146983,20.50840921627311,25.0,85.39408494237264
Town05_Highway3,3,5,v_13_2,v_14_2,30,0.4037986243185572,1.64195040759255,98.35804959240744,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,1,v_14_2,v_15_2,30,0.3512128155761171,1.6419489982721374,98.35805100172786,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,4,v_15_2,v_16_2,30,0.6098142086049567,1.6419502195930085,98.358049780407,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,6,v_16_2,v_17_2,30,0.4033385265729377,1.7578398680773384,98.24216013192266,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,0,v_17_2,v_18_2,30,0.6277274762544619,1.7999988565462797,98.20000114345372,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,3,v_18_2,v_19_2,30,0.5444362429692309,1.8000006827171555,98.19999931728285,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,3,2,v_19_2,v_20_2,30,0.4802094646839856,1.7999997720727974,98.2000002279272,3.420537358980247,687.9163111951287,17.087871857292864,25.0,90.64632167090657
Town05_Highway3,4,6,v_20_2,v_21_2,30,0.2054872651408549,1.7999997720728067,98.2000002279272,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,5,v_21_2,v_22_2,30,0.1350941014934881,1.8000006827171564,98.19999931728285,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,2,v_22_2,v_23_2,30,0.1391837308175654,1.7999997720727985,98.2000002279272,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,3,v_23_2,v_24_2,30,0.7996613835446467,1.8000000009544384,98.19999999904556,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,4,v_24_2,v_25_2,30,0.1800817177696965,1.79999999607226,98.20000000392774,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,0,v_25_2,v_26_2,30,0.5134826552181352,1.9066460415379356,98.09335395846206,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,4,1,v_26_2,v_27_2,30,0.9195668201862568,1.825200099739397,98.1747999002606,2.8925576741706442,687.2681536348332,14.19531418312222,25.0,110.36929817644491
Town05_Highway3,5,1,v_27_2,v_28_2,30,0.3762219302757091,1.7999996997276069,98.2000003002724,2.7551437767943048,687.6787259744613,11.440170406327915,25.0,130.36147081049762
Town05_Highway3,5,4,v_28_2,v_29_2,30,0.8193260698165503,1.8011999608143845,98.1988000391856,2.7551437767943048,687.6787259744613,11.440170406327915,25.0,130.36147081049762
Town05_Highway3,5,0,v_29_2,v_30_2,30,0.2675233439456755,1.7999992419680482,98.20000075803196,2.7551437767943048,687.6787259744613,11.440170406327915,25.0,130.36147081049762
