graph_id,epoch,segment_index,start_node,end_node,speed,risk,cost,utility,delta,objective,remaining_after,total_budget,psi
Town01_T-Intersection,0,0,v_0_0,v_1_6,30,0.5521945160561054,61.200000003928736,38.799999996071264,2.3621866302138077,433.9999999802203,22.637813369786194,25.0,48.68504617192196
Town01_T-Intersection,0,4,v_1_6,v_2_6,30,0.669947547335638,1.2000000040738328,98.79999999592616,2.3621866302138077,433.9999999802203,22.637813369786194,25.0,48.68504617192196
Town01_T-Intersection,0,3,v_2_6,v_3_6,30,0.3762189759789601,1.2000000039241798,98.79999999607584,2.3621866302138077,433.9999999802203,22.637813369786194,25.0,48.68504617192196
Town01_T-Intersection,0,1,v_3_6,v_4_6,30,0.5148804088909691,1.2000000039241885,98.7999999960758,2.3621866302138077,433.9999999802203,22.637813369786194,25.0,48.68504617192196
Town01_T-Intersection,0,2,v_4_6,v_5_6,30,0.2489451819521351,1.2000000039287362,98.79999999607126,2.3621866302138077,433.9999999802203,22.637813369786194,25.0,48.68504617192196
Town01_T-Intersection,1,0,v_5_6,v_6_6,30,0.6281721910873744,1.200000004073836,98.79999999592616,2.064047613560783,296.3999999880778,20.573765756225413,25.0,58.079041242160024
Town01_T-Intersection,1,1,v_6_6,v_7_6,30,0.7052634724569419,1.2000000039241765,98.79999999607584,2.064047613560783,296.3999999880778,20.573765756225413,25.0,58.079041242160024
Town01_T-Intersection,1,2,v_7_6,v_8_6,30,0.7306119500164667,1.2000000039241852,98.7999999960758,2.064047613560783,296.3999999880778,20.573765756225413,25.0,58.079041242160024
Town01_T-Intersection,2,0,v_10_6,v_11_6,30,0.2267377904787936,1.2000000039241765,98.79999999607584,1.1563282347294601,296.3999999880778,19.417437521495952,25.0,67.75983705883652
Town01_T-Intersection,2,2,v_8_6,v_9_6,30,0.3546090112566586,1.200000004073836,98.79999999592616,1.1563282347294601,296.3999999880778,19.417437521495952,25.0,67.75983705883652
Town01_T-Intersection,2,1,v_9_6,v_10_6,30,0.574981432994008,1.2000000039241765,98.79999999607584,1.1563282347294601,296.3999999880778,19.417437521495952,25.0,67.75983705883652
Town01_T-Intersection,3,4,v_11_6,v_12_6,30,0.5914719023418155,1.2000000039241852,98.7999999960758,2.4543745037730065,494.2441748542667,16.963063017722945,25.0,73.87218713726094
Town01_T-Intersection,3,1,v_12_6,v_13_6,30,0.5481500471402544,1.173452599642777,98.82654740035724,2.4543745037730065,494.2441748542667,16.963063017722945,25.0,73.87218713726094
Town01_T-Intersection,3,0,v_13_6,v_14_6,30,0.001,0.931173632143524,99.06882636785647,2.4543745037730065,494.2441748542667,16.963063017722945,25.0,73.87218713726094
Town01_T-Intersection,3,2,v_14_6,v_15_6,30,0.9506805077837004,1.251198690953381,98.7488013090466,2.4543745037730065,494.2441748542667,16.963063017722945,25.0,73.87218713726094
Town01_T-Intersection,3,3,v_15_6,v_16_6,30,0.3630720465072362,1.2000002190693957,98.7999997809306,2.4543745037730065,494.2441748542667,16.963063017722945,25.0,73.87218713726094
Town01_T-Intersection,4,4,v_16_6,v_17_6,30,0.2140047920011907,1.2000002190935108,98.79999978090648,0.21800479200119072,444.0000025689193,16.745058225721753,25.0,88.73504427717157
Town01_T-Intersection,4,3,v_17_6,v_18_6,30,0.001,1.1999983880391596,98.80000161196084,0.21800479200119072,444.0000025689193,16.745058225721753,25.0,88.73504427717157
Town01_T-Intersection,4,2,v_18_6,v_19_6,30,0.001,1.20000021686339,98.7999997831366,0.21800479200119072,444.0000025689193,16.745058225721753,25.0,88.73504427717157
Town01_T-Intersection,4,1,v_19_6,v_20_6,30,0.001,1.1999983880151377,98.80000161198488,0.21800479200119072,444.0000025689193,16.745058225721753,25.0,88.73504427717157
Town01_T-Intersection,4,0,v_20_6,v_21_1,30,0.001,51.20000021906949,48.79999978093051,0.21800479200119072,444.0000025689193,16.745058225721753,25.0,88.73504427717157
